;Unnamed: 0;Tweets;step01;tokens;final_tokens;step02
0;0.0;@laaaanis wkkwkw tengkiuuu;laaaanis wkkwkw tengkiuuu;['laaaanis', 'wkkwkw', 'tengkiuuu'];['laaaanis', 'wkkwkw', 'tengkiuuu'];laaaanis wkkwkw tengkiuuu
1;1.0;Kamu yang salah, kok kamu yang marah;kamu yang salah kok kamu yang marah;['kamu', 'yang', 'salah', 'kok', 'kamu', 'yang', 'marah'];['kamu', 'yang', 'salah', 'kok', 'kamu', 'yang', 'marah'];kamu yang salah kok kamu yang marah
2;2.0;Hari ini ke Lotte World Korea, pake seragam sekolah Korea wkwkwk. Seruuu bgt! Tungguin vlog Korea Trip yahh! https://t.co/CmszdIGiSc;hari ini ke lotte world korea pake seragam sekolah korea wkwkwk seruuu bgt tungguin vlog korea trip yahh cocmszdigisc;['hari', 'ini', 'ke', 'lotte', 'world', 'korea', 'pake', 'seragam', 'sekolah', 'korea', 'wkwkwk', 'seruuu', 'bgt', 'tungguin', 'vlog', 'korea', 'trip', 'yahh', 'cocmszdigisc'];['hari', 'ini', 'ke', 'lotte', 'world', 'korea', 'pake', 'seragam', 'sekolah', 'korea', 'wkwkwk', 'seruuu', 'bgt', 'tungguin', 'vlog', 'korea', 'trip', 'yahh', 'cocmszdigisc'];hari ini ke lotte world korea pake seragam sekolah korea wkwkwk seruuu bgt tungguin vlog korea trip yahh cocmszdigisc
3;3.0;@jehianps @samsungID Thx ingfo;jehianps samsungid thx ingfo;['jehianps', 'samsungid', 'thx', 'ingfo'];['jehianps', 'samsungid', 'thx', 'ingfo'];jehianps samsungid thx ingfo
4;4.0;RT @kamubukanakuu: PERKARA JAMBU JD PANJANG;kamubukanakuu perkara jambu jd panjang;['kamubukanakuu', 'perkara', 'jambu', 'jd', 'panjang'];['kamubukanakuu', 'perkara', 'jambu', 'jd', 'panjang'];kamubukanakuu perkara jambu jd panjang
5;5.0;RT @barkhohum: konspirasi;barkhohum konspirasi;['barkhohum', 'konspirasi'];['barkhohum', 'konspirasi'];barkhohum konspirasi
6;6.0;RT @yxxxb_07: Masuk akal sih 🤣;_ masuk akal sih;['_', 'masuk', 'akal', 'sih'];['_', 'masuk', 'akal', 'sih'];_ masuk akal sih
7;7.0;RT @sminyeop: diluar nalar wkwkkw;sminyeop diluar nalar wkwkkw;['sminyeop', 'diluar', 'nalar', 'wkwkkw'];['sminyeop', 'diluar', 'nalar', 'wkwkkw'];sminyeop diluar nalar wkwkkw
8;8.0;Viral seorang anak ditanya √25 = …? Dan anak tersebut menjawab JAMBU. Setelah bbrp lama berpikir dan menganalisa, a… https://t.co/iMNMv2bPNL;viral seorang anak ditanya   dan anak tersebut menjawab jambu setelah bbrp lama berpikir dan menganalisa coimnmvbpnl;['viral', 'seorang', 'anak', 'ditanya', 'dan', 'anak', 'tersebut', 'menjawab', 'jambu', 'setelah', 'bbrp', 'lama', 'berpikir', 'dan', 'menganalisa', 'coimnmvbpnl'];['viral', 'seorang', 'anak', 'ditanya', 'dan', 'anak', 'tersebut', 'menjawab', 'jambu', 'setelah', 'bbrp', 'lama', 'berpikir', 'dan', 'menganalisa', 'coimnmvbpnl'];viral seorang anak ditanya dan anak tersebut menjawab jambu setelah bbrp lama berpikir dan menganalisa coimnmvbpnl
9;9.0;Bentar lagi bakal trip ke Korea, gak sabar ketemu ayang Jennie;bentar lagi bakal trip ke korea gak sabar ketemu ayang jennie;['bentar', 'lagi', 'bakal', 'trip', 'ke', 'korea', 'gak', 'sabar', 'ketemu', 'ayang', 'jennie'];['bentar', 'lagi', 'bakal', 'trip', 'ke', 'korea', 'gak', 'sabar', 'ketemu', 'ayang', 'jennie'];bentar lagi bakal trip ke korea gak sabar ketemu ayang jennie
